r,l,t
-258.074584,958000,6086.868362
-57.07648,960000,6101.972074
-62.975261,962000,6117.168261
-76.964904,964000,6132.856816
-59.243318,966000,6148.168011
-91.779729,968000,6163.616872
-89.30089,970000,6178.799583
-279.105374,972000,6194.014511
-132.395168,974000,6209.39031
-733.821807,976000,6224.696925
-553.662444,978000,6239.791887
-758.326126,980000,6254.958992
-769.53457,982000,6270.321715
-516.424116,984000,6285.70818
-479.333425,986000,6301.374048
-63.611334,988000,6316.912556
-56.362133,990000,6332.217105
-153.089587,992000,6347.654155
-97.317702,994000,6362.992841
-335.826682,996000,6378.397875
-93.599436,998000,6393.908334
-68.902793,1000000,6409.536637
-67.110106,1002000,6424.846536
-74.377694,1004000,6440.08071
-121.442615,1006000,6455.255041
-104.990734,1008000,6470.487132
-154.418304,1010000,6485.686196
-167.975292,1012000,6501.114389
-220.564766,1014000,6516.678814
-57.533676,1016000,6532.15047
-80.993187,1018000,6547.40607
-116.216055,1020000,6562.783338
-387.060309,1022000,6578.459525
-163.708021,1024000,6594.031718
-101.815324,1026000,6609.588354
-95.550397,1028000,6625.188585
-95.917251,1030000,6640.758795
-116.071739,1032000,6656.300267
-86.266388,1034000,6671.834814
-72.032349,1036000,6687.307131
-57.359549,1038000,6702.785155
-102.70834,1040000,6718.360909
-66.719414,1042000,6733.88954
-229.088694,1044000,6749.430525
-132.896003,1046000,6765.156931
-123.070336,1048000,6780.677479
-159.235395,1050000,6796.186713
-648.25462,1052000,6811.837987
-611.394593,1054000,6827.250621
-181.823382,1056000,6842.8292
-96.219842,1058000,6858.440831
-98.822045,1060000,6874.104466
-112.230076,1062000,6889.651607
-99.07889,1064000,6906.044655
-524.834119,1066000,6921.441023
-103.103023,1068000,6936.532502
-139.191284,1070000,6951.968799
-110.028065,1072000,6967.560595
-119.210287,1074000,6982.723913
-136.432304,1076000,6998.18428
-148.209057,1078000,7013.313718
-173.211868,1080000,7028.627704
-194.970078,1082000,7044.15145
-195.820368,1084000,7059.286939
-414.782462,1086000,7074.243445
-160.60498,1088000,7089.681038
-145.388654,1090000,7104.943064
-154.268601,1092000,7120.432245
-144.405683,1094000,7135.982632
-133.98497,1096000,7151.484013
-123.519447,1098000,7166.721485
-113.324012,1100000,7182.257057
-140.585962,1102000,7197.532979
-141.756047,1104000,7212.825639
-188.635325,1106000,7227.907867
-285.598735,1108000,7243.261997
-199.795433,1110000,7258.643382
-127.324762,1112000,7274.134438
-111.87865,1114000,7289.600761
-132.361404,1116000,7304.913053
-110.10096,1118000,7320.220477
-148.307977,1120000,7335.784231
-114.737824,1122000,7350.975948
-132.827238,1124000,7366.486035
-97.135682,1126000,7381.761335
-86.602652,1128000,7397.154633
-91.389342,1130000,7412.664287
-72.941702,1132000,7428.177931
-82.698487,1134000,7443.376907
-71.029668,1136000,7458.522841
-84.387089,1138000,7473.723757
-67.115852,1140000,7489.193472
-71.106556,1142000,7504.73122
-80.286127,1144000,7521.252864
-88.216976,1146000,7538.150546
-89.402798,1148000,7555.170765
-79.272807,1150000,7571.332253
-92.506164,1152000,7586.938998
-85.020927,1154000,7602.817523
-74.33944,1156000,7618.285343
-87.072963,1158000,7633.907066
-58.060557,1160000,7649.441724
-73.865825,1162000,7664.97049
-52.812773,1164000,7680.392612
-69.151811,1166000,7695.75831
-61.89634,1168000,7711.222261
-57.168114,1170000,7726.480088
-90.899083,1172000,7741.832653
-66.231172,1174000,7757.144643
-64.073616,1176000,7772.522727
-73.769205,1178000,7788.037591
-118.458419,1180000,7803.260227
-97.109326,1182000,7818.684635
-459.03936,1184000,7834.059524
-271.047466,1186000,7849.686452
-490.41659,1188000,7865.109341
-77.297022,1190000,7880.72797
-92.905224,1192000,7895.977965
-89.43316,1194000,7911.266089
-87.063992,1196000,7926.54588
-89.113096,1198000,7941.948957
-99.705513,1200000,7957.292469
-95.860332,1202000,7972.734321
-150.648257,1204000,7988.02942
-133.854234,1206000,8003.281544
-615.33517,1208000,8018.57206
-95.188394,1210000,8033.945524
-103.706109,1212000,8049.273422
-287.181968,1214000,8064.311925
-74.428163,1216000,8079.318299
-421.934549,1218000,8094.628272
-147.705914,1220000,8110.249249
-142.485601,1222000,8125.684408
-95.348996,1224000,8140.90845
-156.178806,1226000,8156.358758
-112.594351,1228000,8171.876965
-230.975026,1230000,8187.26406
-207.123277,1232000,8202.777913
-103.546162,1234000,8218.001533
-541.564199,1236000,8233.373902
-305.803356,1238000,8248.782428
